title | songNo | key bpm
Nosferatu | 1215 | 200
ZOMEKI THUNDER | 1464 | 195, 230
데드 오어 다이 | 820 | 240, [120, 240]
ひよこ鑑定士さん | 982 | [128, 256], 192, [220, 359.99]
동카마 | 120 | 120, 270, 160
Asteroid | 449 | 144
Mood Swing | 1237 | 158, 316
Dreadnought | 845 | 192, 96
Black Rose Apostle | 73 | 204
BRIGHTEST STARS!! | 1396 | 144
Calculator | 68 | 166, [179, 300]
Chronomia | 1229 | 113.5, 227
No Gravity | 673 | 142, 284
Bling-Bang-Bang-Born | 1313 | 157
Destr0yer | 1220 | 90, 180
memoria ficta | 905 | 125, 250
Infinite Rebellion | 336 | 300, 160
GO ON ～未来へ～ | 1079 | 133
イガク | 1390 | 170
オペレート・ミー | 1319 | 98, 255
さよならワーリャ | 43 | 120, 240
ダンガンノーツ | 721 | 105, 210
よーいドン！ | 724 | 194
案山子姫 -Princess Scarecrow- | 1412 | 125, 250
第六天魔王 | 765 | 300
幻想即興曲 | 88 | 114, 228, 171
懐中庭園を持つ少女 | 702 | 154, 308
